msa_name_original,Final_Rank,BiggerScore,msa_code,5-Year Household Growth,1-Year Household Growth,Population,5-Year Population Growth,1-Year Population Growth,Vacancy_Rate,ACS_1_Year_Median_Price,5-Year Price Growth,ACS_1_Year_Median_Rent,5-Year Rent Growth,ACS_1_Year_Rent-Price_Ratio,Total_Units,Population_Size_Category,Jobs,5-Year Job Growth,Income,5-Year Income Growth,Unemployment_Rate,permit_data_for_year,sfh_permits,duplex_unit_permits,small_multifamily_unit_permits,commercial_multifamily_unit_permits,total_unit_permits,percent_sfh,percent_duplex,percent_small_multi,percent_large_multi,Permits_as_Percent_of_Total_Units,housecanary_median_price,housecanary_median_rent,hc_median_rent_upper_bound,housecanary_rentpriceratio,1-Year Price Forecast,1-Year Rent Forecast,state,metro_or_micro_area,median_prop_taxes_by_msa,insurance,1-Year_HH_Growth_Minus_Percent_New_Supply,Median_Prop_Tax_Rate,Normalized Total Employment,5-Year Job Growth x Normalized,RANK_5-Year Household Growth,RANK_5-Year Population Growth,RANK_5-Year Job Growth,RANK_5-Year Job Growth x Normalized,RANK_Income,RANK_5-Year Income Growth,RANK_Unemployment_Rate,RANK_Permits_as_Percent_of_Total_Units,RANK_1-Year_HH_Growth_Minus_Percent_New_Supply,RANK_ACS_1_Year_Rent-Price_Ratio,RANK_housecanary_rentpriceratio,RANK_1-Year Price Forecast,RANK_ACS_1_Year_Median_Price,RANK_insurance,RANK_Median_Prop_Tax_Rate,RANK_Vacancy_Rate,Corporate_Tax_Ranking,Corporate_Tax_Ranking_10_Year_Change,landlord_friendly_or_not,Cashflow_Rank_Sum,Cashflow_Score,Supply_Rank_Sum,Supply_Score,Demand_Rank_Sum,Demand_Score,Landlord_Friendliness_Modifier,Total_Rank_Sum,Job_Growth_Tier,Household_Growth_Tier,Population_Growth_Tier,Income_Growth_Tier,Vacancy_Rate_Tier,Price_Tier
"Spartanburg, SC",1,0.8324911032028469,43900,0.0979439701815558,0.0283796567412946,357277.0,0.0976117036964215,0.0202958562983693,0.0962748901468667,233400.0,0.5791610284167794,813.0,0.3779661016949152,0.3483290488431876,151566.0,3,176400.0,0.0607336139506915,54171.0,0.2033753422125701,5.4,2023.0,2824.0,2.0,2.0,41.0,2867.0,98.50017439832578,0.069759330310429,0.069759330310429,1.4300662713637948,0.0189158518401224,253800.0,1596.0,2000.0,0.0062884160756501,0.0429231219376995,0.0211397058823528,SC,Metropolitan Statistical Area,1020.0,3219.0,0.0094638049011721,0.0043701799485861,0.01509123336534504,0.09165451412506606,302,339,235,267,201,184,46,58,315,173,207,210,234,173,316,187,6,6,Landlord Friendly,3534,0.6569994422755159,746,0.5067934782608695,5309,0.6170385867038587,0.1,9589,3,4,4,3,3,3
"Oklahoma City, OK",2,0.8172597864768684,36420,0.0966021518979835,0.0164594651544162,1428923.0,0.055721298200818,0.0113591162410802,0.0885479477262495,244000.0,0.5164698570540709,927.0,0.3261802575107296,0.3799180327868852,608642.0,5,716200.0,0.0739241265557055,58398.6,0.221436728478982,3.3,2023.0,5573.0,556.0,756.0,407.0,6736.0,82.73456057007125,8.2541567695962,11.223277909738718,6.042161520190024,0.0110672612143098,244700.0,1523.0,1897.0,0.0062239476910502,0.03933640591338,0.005540166204986,OK,Metropolitan Statistical Area,2045.0,7012.0,0.0053922039401063,0.0083811475409836,0.06798894616153499,0.502602346043436,298,271,268,343,279,206,311,138,247,240,197,184,219,1,152,209,4,7,Landlord Friendly,1794,0.33351924149470163,770,0.5230978260869565,6811,0.7916085541608554,0.1,9375,3,4,3,3,3,3
"Springfield, MO",3,0.811067615658363,44180,0.080776270012696,0.0144498382711782,477056.0,0.0481683376068094,0.0103608068383019,0.0570170811474387,242200.0,0.6135909393737509,815.0,0.3674496644295302,0.3364987613542526,208534.0,3,238400.0,0.0831440254429805,47032.96,0.2494543445227239,3.4,2023.0,1580.0,106.0,171.0,426.0,2177.0,72.57694074414331,4.869085898024805,7.8548461185117135,19.56821313734497,0.0104395446306117,253800.0,1572.0,1934.0,0.0061938534278959,0.0455938552968973,-0.0791208791208791,MO,Metropolitan Statistical Area,1548.0,4114.0,0.0040102936405664,0.0063914120561519,0.021166924720224214,0.1759903327487975,271,252,290,296,90,244,308,149,212,146,194,227,221,89,217,331,3,1,Landlord Friendly,2554,0.4748094441345975,722,0.4904891304347826,6012,0.698744769874477,0.1,9288,4,3,3,3,4,3
"Fort Wayne, IN",4,0.8013167259786477,23060,0.05833916784853,0.0129556232674288,447882.0,0.0438679904908404,0.0087659631973693,0.0671702014314874,222700.0,0.6411201179071481,787.0,0.2673107890499195,0.3533902110462505,189593.0,3,237900.0,0.043421052631579,57032.04,0.2145443672967677,4.1,2023.0,1680.0,44.0,50.0,706.0,2436.0,68.96551724137932,1.80623973727422,2.052545155993432,28.98193760262726,0.0128485756330666,247900.0,1604.0,2052.0,0.0064703509479628,0.0550749947557105,0.0338078291814945,IN,Metropolitan Statistical Area,1305.0,3620.0,0.0001070476343621,0.0058599012123933,0.021117927209297768,0.09169626288247726,221,245,206,265,251,194,179,110,116,189,226,284,250,134,244,295,12,16,Landlord Friendly,3068,0.5703662390778955,452,0.3070652173913043,5631,0.654463040446304,0.1,9151,3,3,3,3,4,3
"Huntsville, AL",5,0.7776298932384341,26620,0.1345747513442014,0.0198103884874312,493980.0,0.1102969602704379,0.0219585159072007,0.0738001860430329,311400.0,0.66524064171123,1062.0,0.5756676557863502,0.3410404624277456,213929.0,3,283800.0,0.1560081466395111,70140.72,0.2752765434433204,2.8,2023.0,3908.0,90.0,94.0,1938.0,5940.0,65.79124579124579,1.5151515151515151,1.5824915824915824,32.62626262626262,0.0277662215033959,338100.0,1766.0,2220.0,0.0052233067139899,0.0195517635913091,0.0109018830525273,AL,Metropolitan Statistical Area,905.0,3798.0,-0.0079558330159646,0.0029062299293513,0.025615898712345413,0.3996288882618447,345,351,360,331,356,272,341,26,21,156,97,41,134,114,358,260,19,4,Landlord Friendly,2919,0.5426659230340212,94,0.06385869565217392,6785,0.7885867038586704,0.1,9798,4,4,4,4,3,2
"Salt Lake City-Murray, UT",6,0.7775871886120997,41620,0.1232998797762793,0.0210628345263237,1254675.0,0.0723195536627702,0.0080374653221614,0.0534565155152289,547500.0,0.6631227217496962,1491.0,0.4631992149165849,0.2723287671232877,454070.0,5,842900.0,0.1121519989444517,69139.72,0.2915480781372939,3.8,2023.0,3163.0,96.0,390.0,5682.0,9235.0,34.25013535462913,1.0395235517054684,4.223064428803465,61.52680021656741,0.0203382738344308,527800.0,2060.0,2777.0,0.0039029935581659,0.0469035532737736,,UT,Metropolitan Statistical Area,2365.0,2161.0,0.0007245606918929,0.0043196347031963,0.08040491543029614,0.9017571990467301,332,304,328,350,354,294,239,48,129,42,21,233,33,275,320,345,14,-8,Landlord Friendly,3104,0.5770589328871537,354,0.24048913043478262,7564,0.8791259879125988,0.1,11022,4,4,4,4,4,1
"Columbia, MO",7,0.7773309608540926,17860,0.0597689221852419,0.0164340332564631,211078.0,0.0431177200239185,0.0065040960546267,0.0885403628685553,259100.0,0.3480749219562955,904.0,0.296987087517934,0.348900038595137,91879.0,2,108200.0,0.0628683693516698,50606.4,0.2719573400250943,3.2,2023.0,609.0,4.0,4.0,68.0,681.0,89.42731277533039,0.5873715124816447,0.5873715124816447,9.985315712187958,0.0074119222020265,264800.0,1947.0,2453.0,0.0073527190332326,0.059587260699105,,MO,Metropolitan Statistical Area,1943.0,4114.0,0.0090221110544365,0.0074990351215746,0.008407972874977951,0.05285955442029348,224,243,240,226,140,269,323,200,309,175,272,303,195,88,177,210,3,1,Landlord Friendly,2531,0.470533556423127,1018,0.6915760869565217,5265,0.6119246861924686,0.1,8814,3,3,3,3,3,3
"Boise City, ID",8,0.7634661921708186,14260,0.1532532653969024,0.0334059260279234,771602.0,0.1391548780091711,0.0278857925397212,0.0455140283881159,471700.0,0.7840393343419062,1379.0,0.6319526627218935,0.2923468306126775,298787.0,4,410900.0,0.1783768282190996,57203.64,0.3372760205198026,3.6,2023.0,6508.0,38.0,268.0,3115.0,9891.0,65.79718936406834,0.3841876453341421,2.7095339197250023,31.49327671620665,0.0331038498997613,489000.0,2066.0,2642.0,0.0042249488752556,0.0559884079233068,-0.0038729666924863,ID,Metropolitan Statistical Area,2229.0,2449.0,0.000302076128162,0.0047254610981556,0.03807106598984772,0.6790995998189071,356,361,363,347,254,321,276,15,123,69,30,288,47,241,307,361,27,-10,Landlord Friendly,2924,0.5435954638408627,276,0.1875,7574,0.8802882380288238,0.1,10774,4,4,4,4,4,1
"Richmond, VA",9,0.761510837916532,40060,0.0967486610136402,0.0201545889142852,1316145.0,0.0551774563243944,0.009923941768492,0.0661481059887434,357600.0,0.4530678585940674,1303.0,0.3995703544575725,0.3643736017897092,553455.0,5,729700.0,0.0647891434408287,60151.0,0.2885995009357454,3.6,2023.0,4590.0,224.0,232.0,5151.0,9973.0,46.02426551689562,2.246064373809285,2.326280958588188,51.6494535245162,0.0180195318499245,364600.0,2149.0,2661.0,0.0058941305540318,0.0640931552894636,0.0297029702970297,VA,Metropolitan Statistical Area,2500.0,2694.0,0.0021350570643607,0.0069910514541387,0.06931187895654901,0.449065726786921,299,268,247,338,307,291,280,65,164,213,157,326,102,227,190,299,16,-9,Landlord Semi-Friendly,2760,0.5131065253764641,458,0.3111413043478261,7283,0.846466759646676,0.0,10501,3,4,3,4,4,2
"Fayetteville-Springdale-Rogers, AR",10,0.7585409252669039,22220,0.1246943091938575,0.0287212711719245,550596.0,0.120434339343892,0.0232928114365789,0.0845120939720684,342100.0,0.970622119815668,1001.0,0.4918032786885246,0.292604501607717,223045.0,4,314700.0,0.1510607168983175,58475.04,0.3923357890175198,2.6,2023.0,5349.0,428.0,511.0,1055.0,6915.0,77.353579175705,6.189443239334779,7.389732465654374,15.256688358640636,0.0310027124571274,350800.0,1630.0,2098.0,0.0046465222348916,0.0378522803611194,0.0295169946332736,AR,Metropolitan Statistical Area,1442.0,4675.0,-0.0022814412852028,0.0042151417714118,0.02864394488759971,0.4326974849516708,334,355,355,335,281,344,351,19,73,71,52,166,114,35,322,222,28,8,Landlord Friendly,2169,0.40323480200780815,184,0.125,7147,0.8306601580660158,0.1,9500,4,4,4,4,3,2
