msa_name,msa_code,5-Year Household Growth,1-Year Household Growth,Population,5-Year Population Growth,1-Year Population Growth,Vacancy_Rate,ACS_1_Year_Median_Price,5-Year Price Growth,ACS_1_Year_Median_Rent,5-Year Rent Growth,ACS_1_Year_Rent-Price_Ratio,Total_Units,msa_name_original,Population_Size_Category,msa_code_bls,Jobs,5-Year Job Growth,Income,5-Year Income Growth,Unemployment_Rate,permit_data_for_year,sfh_permits,duplex_unit_permits,small_multifamily_unit_permits,commercial_multifamily_unit_permits,total_unit_permits,percent_sfh,percent_duplex,percent_small_multi,percent_large_multi,Permits_as_Percent_of_Total_Units,housecanary_median_price,housecanary_median_rent,hc_median_rent_upper_bound,housecanary_rentpriceratio,1-Year Price Forecast,1-Year Rent Forecast,state,metro_or_micro_area,median_prop_taxes_by_msa,insurance,1-Year_HH_Growth_Minus_Percent_New_Supply,Median_Prop_Tax_Rate,Normalized Total Employment,5-Year Job Growth x Normalized,RANK_5-Year Household Growth,RANK_5-Year Population Growth,RANK_5-Year Job Growth,RANK_5-Year Job Growth x Normalized,RANK_Income,RANK_5-Year Income Growth,RANK_Unemployment_Rate,RANK_Permits_as_Percent_of_Total_Units,RANK_1-Year_HH_Growth_Minus_Percent_New_Supply,RANK_ACS_1_Year_Rent-Price_Ratio,RANK_housecanary_rentpriceratio,RANK_1-Year Price Forecast,RANK_ACS_1_Year_Median_Price,RANK_insurance,RANK_Median_Prop_Tax_Rate,RANK_Vacancy_Rate
"Barnstable Town, MA",12700,0.052183431392154596,0.018397970722166195,229436.0,0.07263207106124357,0.00655429890059752,0.3943768628686359,634700.0,0.5556372549019608,1398.0,0.25719424460431656,0.22026154088545769,165068.0,"Barnstable Town, MA",2,70900,111000.0,-0.0009000900090009312,54992.6,0.2269842558967874,4.1,2023.0,418.0,12.0,25.0,104.0,547.0,76.41681901279708,2.1937842778793417,4.570383912248629,19.012797074954296,0.0033137858337170135,723600.0,2709.0,3667.0,0.003743781094527363,0.048705133662410915,0.004081632653061273,MA,Metropolitan Statistical Area,3658.0,1998.0,0.015084184888449181,0.005763352765085867,0.009429805234863841,-0.0008487673478725623,198,306,87,88,217,211,197,307,350,9,13,248,17,326,252,1
"Atlantic City, NJ",12100,0.06686545071555142,0.018125882864283387,369795.0,0.0063133546499761885,0.0011966871800147827,0.3518812334908413,350000.0,0.5959872321021432,1132.0,0.23580786026200873,0.32342857142857145,231311.0,"Atlantic City-Hammonton, NJ",3,12100,133200.0,-0.007451564828613977,50598.6,0.17061463132947563,6.8,2023.0,299.0,44.0,44.0,40.0,383.0,78.06788511749347,11.488250652741517,11.488250652741517,10.443864229765014,0.001655779448448193,361100.0,2121.0,2867.0,0.005873719191359734,0.08062525144941879,0.01074589127686476,NJ,Metropolitan Statistical Area,6373.0,1894.0,0.016470103415835192,0.018208571428571428,0.011603654416732763,-0.008646538313511708,238,111,70,52,138,147,13,353,357,120,151,357,110,329,21,2
"Naples, FL",34940,0.134922645894115,0.019887971583035697,380221.0,0.06571947507385628,0.0199143233448767,0.3178483469240342,595500.0,0.6107654855288072,1867.0,0.6420404573438874,0.3135180520570949,229814.0,"Naples-Marco Island, FL",3,34940,173000.0,0.1556446225784902,51055.16,0.1194303826332832,3.7,2023.0,2923.0,30.0,106.0,589.0,3618.0,80.79049198452184,0.8291873963515755,2.9297954671089,16.279712548369265,0.015743166212676338,663600.0,3066.0,4154.0,0.004620253164556962,0.02588548448987016,-0.14589104339796855,FL,Metropolitan Statistical Area,2807.0,4984.0,0.004144805370359359,0.004713685978169606,0.015500915562605877,0.2412634152362837,346,294,358,313,146,92,266,90,217,100,51,79,23,18,309,3
"Myrtle Beach, SC",34820,0.1375351527546977,0.05775245340207564,356578.0,0.14956187577775915,0.033964014904382875,0.3113743204813217,316800.0,0.6271186440677966,1108.0,0.3867334167709637,0.34974747474747475,206764.0,"Myrtle Beach-Conway-North Myrtle Beach, SC",3,34820,197200.0,0.1128668171557563,43691.44,0.35663771111182885,5.5,2023.0,11228.0,78.0,159.0,1789.0,13176.0,85.21554341226472,0.5919854280510018,1.2067395264116576,13.577717061323618,0.06372482637209573,346000.0,1884.0,2412.0,0.005445086705202312,0.02182225817561112,-0.0038580246913580973,SC,Metropolitan Statistical Area,725.0,3219.0,-0.005972372970020089,0.002288510101010101,0.01787060701311164,0.2016998534211248,349,364,330,304,59,332,39,2,29,177,113,52,128,177,366,4
"Daphne, AL",19300,0.1926759749385943,0.04142676912489964,233420.0,0.14781667977970103,0.027688866777322338,0.2742400869613869,307000.0,0.5841073271413829,1089.0,0.3104693140794224,0.35472312703583064,125113.0,"Daphne-Fairhope-Foley, AL",2,19300,89200.0,0.11499999999999999,42389.36,0.20674443391757458,3.1,2023.0,3316.0,16.0,32.0,1015.0,4363.0,76.00275040110016,0.3667201466880587,0.7334402933761174,23.26380930552372,0.03487247528234476,369200.0,2037.0,2655.0,0.005517334777898158,0.032123712936363846,-0.010471204188481686,AL,Metropolitan Statistical Area,718.0,3798.0,0.006554293842554883,0.0023387622149837134,0.007295124506722286,0.08389393182730628,364,362,333,258,44,186,329,12,268,194,115,126,141,115,365,5
"Crestview, FL",18880,0.1254815090714839,0.025525378013164592,288639.0,0.10569320584720052,0.021058701173740476,0.2739579644898579,374300.0,0.5687342833193629,1458.0,0.5951859956236324,0.3895271172855998,158152.0,"Crestview-Fort Walton Beach-Destin, FL",3,18880,134100.0,0.14517506404782243,55883.36,0.32048903360570136,3.3,2023.0,2814.0,52.0,72.0,2710.0,5596.0,50.285918513223734,0.9292351679771264,1.2866333095067906,48.42744817726947,0.03538368152157418,464800.0,2089.0,2790.0,0.004494406196213425,0.008133008543136144,-0.03365744203440535,FL,Metropolitan Statistical Area,1623.0,4984.0,-0.009858303508409588,0.004336094042212129,0.01169178343761934,0.16973554093896573,336,349,351,290,236,313,315,11,13,261,43,13,88,13,318,6
"Panama City, FL",37460,0.08479119456134672,0.02494677857439988,206069.0,0.007234015514030569,-0.0010713073828106064,0.2734471214723075,313100.0,0.7891428571428571,1302.0,0.4982738780207135,0.4158415841584158,115302.0,"Panama City-Panama City Beach, FL",2,37460,89000.0,0.10421836228287851,42208.92,0.028444365608291333,3.3,2023.0,1814.0,22.0,31.0,477.0,2322.0,78.12230835486649,0.9474590869939707,1.335055986218777,20.54263565891473,0.020138419108081385,350500.0,2027.0,2693.0,0.005783166904422254,0.01524973720524403,0.028508771929824483,FL,Metropolitan Statistical Area,1336.0,4984.0,0.004808359466318496,0.00426700734589588,0.007275540279858602,0.07582448926899792,280,114,315,253,41,36,317,50,235,303,143,29,131,32,321,7
"Cape Coral, FL",15980,0.17789842050506005,0.04359076633271101,772902.0,0.10388551270057772,0.027452273243903962,0.258546947484735,391700.0,0.6668085106382978,1649.0,0.5541941564561734,0.42098544804697474,419916.0,"Cape Coral-Fort Myers, FL",4,15980,310300.0,0.13330898466033592,48744.28,0.21076968781080074,3.8,2023.0,8654.0,304.0,319.0,4583.0,13556.0,63.838890528179405,2.242549424609029,2.353201534375922,33.807907937444675,0.032282647005591594,369400.0,2276.0,2844.0,0.006161342717920953,0.003026784238001845,-0.1421736158578265,FL,Metropolitan Statistical Area,2354.0,4984.0,0.011308119327119413,0.00600970130201685,0.028945487304524935,0.3858693523064863,361,346,345,329,112,188,237,16,333,309,189,4,79,14,237,8
"Watertown, NY",48060,0.06695829282969958,0.012786431443197048,117445.0,0.007532148892911373,-0.0016066783412958838,0.2513114514478748,184200.0,0.2651098901098901,1045.0,0.2682038834951456,0.5673181324647123,61573.0,"Watertown-Fort Drum, NY",2,48060,41500.0,-0.0071770334928229484,52326.56,0.279326696924622,4.3,2023.0,194.0,0.0,0.0,0.0,194.0,100.0,0.0,0.0,0.0,0.0031507316518603933,192600.0,1445.0,2067.0,0.007502596053997924,0.019799625240336738,0.0029880478087649376,NY,Metropolitan Statistical Area,2642.0,2349.0,0.009635699791336653,0.014343105320304018,0.0026242863997336546,-0.0018834591385648192,240,116,72,84,166,278,146,308,318,365,280,43,317,261,51,9
"Flagstaff, AZ",22380,0.09256535260990166,0.018731508513431434,144705.0,0.04375392205656417,-0.001635136813346028,0.2490141984313838,470900.0,0.602791014295439,1441.0,0.29353680430879714,0.30600976852835,69233.0,"Flagstaff, AZ",2,22380,70500.0,0.011477761836441891,38443.6,0.26792206901282833,4.3,2023.0,314.0,26.0,137.0,672.0,1123.0,27.960819234194123,2.315227070347284,12.19946571682992,59.839715048975954,0.016220588447705575,538300.0,2561.0,3169.0,0.004757570128181312,0.02464812064592281,0.004891304347826031,AZ,Metropolitan Statistical Area,1748.0,3063.0,0.0025109200657258586,0.0037120407729878957,0.005463999294967833,0.006271448258212719,294,244,127,117,17,267,148,84,174,92,64,70,48,184,343,10
