msa_name,Total_2014,1 Unit_2014,2 Units_2014,3 and 4 Units_2014,5 Units or more_2014,Num of Structures With 5 Units or more_2014,Total_2015,1 Unit_2015,2 Units_2015,3 and 4 Units_2015,5 Units or more_2015,Num of Structures With 5 Units or more_2015,Total_2016,1 Unit_2016,2 Units_2016,3 and 4 Units_2016,5 Units or more_2016,Num of Structures With 5 Units or more_2016,Total_2017,1 Unit_2017,2 Units_2017,3 and 4 Units_2017,5 Units or more_2017,Num of Structures With 5 Units or more_2017,Total_2018,1 Unit_2018,2 Units_2018,3 and 4 Units_2018,5 Units or more_2018,Num of Structures With 5 Units or more_2018
"Abilene, TX",284.0,284,0,0,0,0,535.0,303,4,0,228,24,306.0,298,8,0,0,0,322.0,282,36,4,0,0,357.0,335,22,0,0,0
"Akron, OH",763.0,684,0,16,63,1,967.0,792,4,12,159,1,909.0,905,0,4,0,0,920.0,901,0,8,11,1,1210.0,1011,8,12,179,2
"Albany, GA",271.0,235,22,9,5,1,203.0,166,26,6,5,1,230.0,176,0,8,46,6,416.0,411,0,0,5,1,188.0,170,0,3,15,3
"Albany, OR",393.0,270,2,0,121,11,365.0,344,6,0,15,3,405.0,395,0,0,10,2,539.0,481,0,0,58,6,540.0,446,2,0,92,9
"Albany, NY",2231.0,1203,62,127,839,70,3623.0,1185,70,236,2132,142,2853.0,1380,78,275,1120,70,2346.0,1212,60,149,925,62,2239.0,1231,30,121,857,48
"Albuquerque, NM",2543.0,2128,12,67,336,15,2295.0,2012,12,52,219,12,2465.0,1931,6,28,500,42,2256.0,1996,6,3,251,24,2186.0,2086,4,21,75,13
"Alexandria, LA",323.0,311,12,0,0,0,289.0,241,48,0,0,0,390.0,326,64,0,0,0,302.0,292,10,0,0,0,305.0,289,16,0,0,0
"Allentown, PA",1801.0,1051,2,14,734,38,1356.0,943,0,7,406,28,1263.0,1059,28,13,163,16,1118.0,938,22,0,158,12,1246.0,1082,2,0,162,13
"Altoona, PA",100.0,88,4,0,8,1,117.0,108,0,4,5,1,183.0,102,40,0,41,1,114.0,88,26,0,0,0,101.0,101,0,0,0,0
"Amarillo, TX",918.0,496,6,44,372,13,880.0,564,4,0,312,30,740.0,718,22,0,0,0,775.0,555,12,4,204,3,750.0,637,12,0,101,1
"Ames, IA",539.0,179,10,0,350,22,555.0,196,2,3,354,15,709.0,210,24,0,475,26,902.0,257,14,0,631,26,626.0,273,10,3,340,12
"Anchorage, AK",887.0,671,18,22,176,19,933.0,695,30,60,148,17,1046.0,751,26,53,216,19,1148.0,851,34,55,208,20,1259.0,938,62,51,208,20
"Ann Arbor, MI",570.0,385,2,0,183,14,420.0,390,0,0,30,3,438.0,438,0,0,0,0,657.0,583,12,40,22,3,805.0,652,10,27,116,12
"Anniston, AL",114.0,102,0,0,12,1,61.0,61,0,0,0,0,77.0,62,0,8,7,1,69.0,69,0,0,0,0,70.0,66,0,4,0,0
"Appleton, WI",930.0,508,36,40,346,35,1119.0,568,32,28,491,43,743.0,549,48,0,146,10,930.0,616,68,0,246,17,987.0,781,62,0,144,12
"Asheville, NC",1832.0,1408,8,0,416,31,2161.0,1794,0,0,367,27,3203.0,1919,10,0,1274,56,2771.0,2103,10,0,658,41,2805.0,2233,4,0,568,35
