msa_name,Total_2019,1 Unit_2019,2 Units_2019,3 and 4 Units_2019,5 Units or More_2019,Num of Structures With 5 Units or More_2019,Total_2020,1 Unit_2020,2 Units_2020,3 and 4 Units_2020,5 Units or More_2020,Num of Structures With 5 Units or More_2020,Total_2021,1 Unit_2021,2 Units_2021,3 and 4 Units_2021,5 Units or More_2021,Num of Structures With 5 Units or More_2021,Total_2022,1 Unit_2022,2 Units_2022,3 and 4 Units_2022,5 Units or More_2022,Num of Structures With 5 Units or More_2022,Total_2023,1 Unit_2023,2 Units_2023,3 and 4 Units_2023,5 Units or More_2023,Num of Structures With 5 Units or More_2023
"Abilene, TX",370.0,354.0,16.0,0.0,0.0,0.0,663.0,397.0,50.0,20.0,196.0,19.0,883.0,506.0,88.0,0.0,289.0,7.0,799.0,473.0,52.0,0.0,274.0,36.0,462.0,342.0,56.0,0.0,64.0,9.0
"Akron, OH",945.0,856.0,2.0,32.0,55.0,1.0,914.0,788.0,6.0,31.0,89.0,5.0,1215.0,881.0,10.0,107.0,217.0,28.0,3047.0,796.0,68.0,437.0,1746.0,137.0,940.0,709.0,4.0,103.0,124.0,18.0
"Albany, GA",402.0,182.0,0.0,0.0,220.0,10.0,367.0,173.0,0.0,0.0,194.0,13.0,224.0,224.0,0.0,0.0,0.0,0.0,202.0,169.0,0.0,0.0,33.0,2.0,183.0,162.0,2.0,4.0,15.0,3.0
"Albany, OR",716.0,466.0,0.0,0.0,250.0,26.0,796.0,440.0,30.0,15.0,311.0,26.0,620.0,385.0,12.0,0.0,223.0,22.0,327.0,220.0,26.0,3.0,78.0,4.0,377.0,239.0,52.0,7.0,79.0,9.0
"Albany, NY",1870.0,1120.0,40.0,45.0,665.0,48.0,2046.0,1299.0,42.0,77.0,628.0,63.0,2697.0,1385.0,38.0,92.0,1182.0,45.0,2635.0,1266.0,68.0,44.0,1257.0,78.0,1907.0,976.0,40.0,55.0,836.0,56.0
"Albuquerque, NM",2148.0,1872.0,2.0,12.0,262.0,14.0,2014.0,1925.0,0.0,21.0,68.0,12.0,4021.0,2535.0,52.0,24.0,1410.0,52.0,2852.0,1903.0,0.0,7.0,942.0,9.0,2834.0,2057.0,0.0,0.0,777.0,12.0
"Alexandria, LA",333.0,303.0,30.0,0.0,0.0,0.0,313.0,287.0,26.0,0.0,0.0,0.0,289.0,273.0,16.0,0.0,0.0,0.0,353.0,313.0,40.0,0.0,0.0,0.0,241.0,223.0,18.0,0.0,0.0,0.0
"Allentown, PA",1345.0,1078.0,22.0,6.0,239.0,17.0,1688.0,1110.0,26.0,4.0,548.0,52.0,2606.0,1716.0,20.0,12.0,858.0,29.0,2232.0,1576.0,28.0,20.0,608.0,17.0,1735.0,1329.0,24.0,4.0,378.0,21.0
"Altoona, PA",111.0,111.0,0.0,0.0,0.0,0.0,96.0,96.0,0.0,0.0,0.0,0.0,94.0,94.0,0.0,0.0,0.0,0.0,123.0,71.0,0.0,0.0,52.0,6.0,110.0,62.0,4.0,32.0,12.0,1.0
"Amarillo, TX",584.0,554.0,30.0,0.0,0.0,0.0,1022.0,721.0,16.0,0.0,285.0,39.0,736.0,682.0,38.0,0.0,16.0,2.0,982.0,818.0,50.0,4.0,110.0,7.0,672.0,567.0,46.0,4.0,55.0,11.0
"Ames, IA",549.0,258.0,12.0,7.0,272.0,8.0,270.0,251.0,8.0,3.0,8.0,1.0,394.0,279.0,2.0,3.0,110.0,4.0,328.0,236.0,8.0,52.0,32.0,3.0,262.0,167.0,4.0,83.0,8.0,1.0
"Anchorage, AK",1163.0,878.0,12.0,48.0,225.0,22.0,1030.0,771.0,18.0,52.0,189.0,15.0,1183.0,877.0,10.0,52.0,244.0,22.0,213.0,166.0,10.0,8.0,29.0,3.0,457.0,338.0,22.0,8.0,89.0,3.0
"Ann Arbor, MI",815.0,608.0,0.0,84.0,123.0,15.0,1065.0,711.0,136.0,21.0,197.0,4.0,916.0,795.0,26.0,80.0,15.0,2.0,656.0,603.0,6.0,14.0,33.0,5.0,1597.0,485.0,28.0,4.0,1080.0,67.0
"Anniston, AL",105.0,105.0,0.0,0.0,0.0,0.0,102.0,102.0,0.0,0.0,0.0,0.0,68.0,68.0,0.0,0.0,0.0,0.0,78.0,76.0,2.0,0.0,0.0,0.0,64.0,62.0,2.0,0.0,0.0,0.0
"Appleton, WI",577.0,490.0,54.0,0.0,33.0,1.0,1311.0,594.0,88.0,0.0,629.0,47.0,1429.0,574.0,100.0,0.0,755.0,69.0,767.0,480.0,104.0,0.0,183.0,9.0,753.0,461.0,48.0,16.0,228.0,12.0
"Asheville, NC",3254.0,2252.0,32.0,0.0,970.0,56.0,3432.0,2335.0,18.0,0.0,1079.0,53.0,4238.0,2976.0,10.0,0.0,1252.0,49.0,3531.0,2813.0,2.0,0.0,716.0,35.0,3926.0,2636.0,30.0,0.0,1260.0,51.0
"Athens, GA",1591.0,821.0,82.0,55.0,633.0,69.0,1218.0,857.0,232.0,129.0,0.0,0.0,1848.0,856.0,24.0,46.0,922.0,48.0,2345.0,771.0,20.0,12.0,1542.0,58.0,1026.0,776.0,34.0,33.0,183.0,12.0
"Atlanta, GA",32836.0,26261.0,42.0,115.0,6418.0,169.0,32346.0,28632.0,96.0,228.0,3390.0,149.0,39466.0,31560.0,78.0,151.0,7677.0,317.0,48501.0,26629.0,186.0,398.0,21288.0,563.0,38639.0,24022.0,114.0,276.0,14227.0,460.0
"Atlantic City, NJ",957.0,364.0,8.0,0.0,585.0,53.0,667.0,499.0,6.0,0.0,162.0,15.0,804.0,556.0,2.0,6.0,240.0,16.0,762.0,401.0,22.0,0.0,339.0,28.0,383.0,299.0,44.0,0.0,40.0,6.0
"Auburn, AL",2091.0,1129.0,66.0,55.0,841.0,16.0,2221.0,1316.0,18.0,18.0,869.0,59.0,1851.0,1487.0,42.0,28.0,294.0,19.0,2192.0,1127.0,28.0,7.0,1030.0,21.0,1403.0,1359.0,30.0,9.0,5.0,1.0
"Augusta, GA",3201.0,2655.0,58.0,87.0,401.0,18.0,3556.0,3445.0,6.0,67.0,38.0,5.0,4280.0,4144.0,0.0,109.0,27.0,4.0,4190.0,3429.0,6.0,89.0,666.0,31.0,3559.0,3380.0,14.0,33.0,132.0,9.0
"Austin, TX",32037.0,18426.0,254.0,90.0,13267.0,362.0,42264.0,22570.0,346.0,71.0,19277.0,406.0,50907.0,24486.0,494.0,285.0,25642.0,539.0,42362.0,19715.0,326.0,142.0,22179.0,464.0,38773.0,16532.0,244.0,244.0,21753.0,445.0
"Bakersfield, CA",2261.0,2190.0,12.0,24.0,35.0,6.0,2502.0,2209.0,34.0,7.0,252.0,25.0,2293.0,2152.0,32.0,18.0,91.0,11.0,2688.0,2471.0,26.0,7.0,184.0,17.0,2451.0,2246.0,54.0,15.0,136.0,17.0
"Baltimore, MD",6967.0,4802.0,72.0,25.0,2068.0,39.0,8094.0,5010.0,2.0,4.0,3078.0,56.0,7834.0,4783.0,2.0,4.0,3045.0,53.0,6588.0,2832.0,10.0,6.0,3740.0,58.0,7539.0,3798.0,2.0,4.0,3735.0,80.0
"Bangor, ME",266.0,216.0,38.0,12.0,0.0,0.0,337.0,227.0,44.0,28.0,38.0,1.0,368.0,316.0,32.0,20.0,0.0,0.0,415.0,334.0,50.0,31.0,0.0,0.0,404.0,335.0,18.0,8.0,43.0,6.0
"Barnstable Town, MA",513.0,427.0,14.0,3.0,69.0,4.0,592.0,536.0,40.0,6.0,10.0,1.0,672.0,646.0,18.0,0.0,8.0,1.0,887.0,564.0,36.0,15.0,272.0,3.0,547.0,418.0,12.0,13.0,104.0,4.0
"Baton Rouge, LA",3622.0,3612.0,10.0,0.0,0.0,0.0,3780.0,3766.0,14.0,0.0,0.0,0.0,4460.0,4458.0,2.0,0.0,0.0,0.0,3770.0,3478.0,22.0,3.0,267.0,12.0,3281.0,3013.0,4.0,0.0,264.0,11.0
"Battle Creek, MI",56.0,54.0,2.0,0.0,0.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,108.0,108.0,0.0,0.0,0.0,0.0,95.0,93.0,2.0,0.0,0.0,0.0,131.0,131.0,0.0,0.0,0.0,0.0
"Bay City, MI",83.0,83.0,0.0,0.0,0.0,0.0,135.0,79.0,0.0,0.0,56.0,2.0,74.0,74.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0,0.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0
"Beaumont, TX",1363.0,1100.0,12.0,0.0,251.0,23.0,1753.0,1555.0,42.0,8.0,148.0,11.0,1585.0,1401.0,36.0,32.0,116.0,10.0,1368.0,1338.0,24.0,0.0,6.0,1.0,1181.0,1007.0,20.0,8.0,146.0,17.0
"Beckley, WV",77.0,77.0,0.0,0.0,0.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0,103.0,101.0,2.0,0.0,0.0,0.0,104.0,104.0,0.0,0.0,0.0,0.0,91.0,91.0,0.0,0.0,0.0,0.0
"Bellingham, WA",1821.0,816.0,50.0,63.0,892.0,26.0,1382.0,718.0,72.0,59.0,533.0,21.0,1871.0,888.0,26.0,36.0,921.0,25.0,1614.0,810.0,10.0,78.0,716.0,25.0,894.0,571.0,6.0,25.0,292.0,7.0
"Bend, OR",2028.0,1488.0,74.0,8.0,458.0,24.0,2338.0,1734.0,128.0,17.0,459.0,18.0,2737.0,1734.0,112.0,32.0,859.0,43.0,2113.0,1178.0,112.0,47.0,776.0,36.0,2397.0,1192.0,122.0,15.0,1068.0,36.0
