msa_name,2023_population
"Abilene, TX",181591.0
"Akron, OH",698398.0
"Albany, GA",145508.0
"Albany, OR",131496.0
"Albany, NY",904682.0
"Albuquerque, NM",922296.0
"Alexandria, LA",148171.0
"Allentown, PA",873555.0
"Altoona, PA",120273.0
"Amarillo, TX",272395.0
"Ames, IA",125156.0
"Amherst Town, MA",162502.0
"Anchorage, AK",401314.0
"Ann Arbor, MI",365536.0
"Anniston, AL",116429.0
"Appleton, WI",246433.0
"Asheville, NC",417202.0
"Athens, GA",222060.0
"Atlanta, GA",6307261.0
"Atlantic City, NJ",369823.0
"Auburn, AL",201585.0
"Augusta, GA",629429.0
"Austin, TX",2473275.0
"Bakersfield, CA",913820.0
"Baltimore, MD",2834316.0
"Bangor, ME",155312.0
"Barnstable Town, MA",231735.0
"Baton Rouge, LA",873661.0
"Battle Creek, MI",133366.0
"Bay City, MI",102500.0
"Beaumont, TX",395479.0
"Beckley, WV",111428.0
"Bellingham, WA",231919.0
"Bend, OR",260919.0
"Billings, MT",191435.0
"Binghamton, NY",243792.0
"Birmingham, AL",1184290.0
"Bismarck, ND",135786.0
"Blacksburg, VA",181428.0
"Bloomington, IL",170441.0
"Bloomington, IN",160874.0
"Boise City, ID",824657.0
"Boston, MA",4919179.0
"Boulder, CO",326831.0
"Bowling Green, KY",188840.0
"Bozeman, MT",126409.0
"Bremerton, WA",277658.0
"Bridgeport, CT",951558.0
"Brownsville, TX",426710.0
"Brunswick, GA",116074.0
"Buffalo, NY",1155604.0
"Burlington, NC",179165.0
"Burlington, VT",227942.0
"Canton, OH",399474.0
"Cape Coral, FL",834573.0
"Cape Girardeau, MO",98223.0
"Carson City, NV",58036.0
"Casper, WY",79941.0
"Cedar Rapids, IA",275668.0
"Chambersburg, PA",157854.0
"Champaign, IL",235608.0
"Charleston, WV",203164.0
"Charleston, SC",849417.0
"Charlotte, NC",2805115.0
"Charlottesville, VA",225127.0
"Chattanooga, TN",580971.0
"Cheyenne, WY",100984.0
"Chicago, IL",9262825.0
"Chico, CA",207172.0
"Cincinnati, OH",2271479.0
"Clarksville, TN",340495.0
"Cleveland, OH",2158932.0
"Cleveland, TN",129612.0
"Coeur d'Alene, ID",185010.0
"College Station, TX",281445.0
"Colorado Springs, CO",768832.0
"Columbia, MO",216511.0
"Columbia, SC",858302.0
"Columbus, GA",323768.0
"Columbus, IN",84003.0
"Columbus, OH",2180271.0
"Corpus Christi, TX",448323.0
"Corvallis, OR",97713.0
"Crestview, FL",304818.0
"Dallas, TX",8100037.0
"Dalton, GA",144722.0
"Daphne, AL",253507.0
"Davenport, IA",379441.0
"Dayton, OH",814363.0
"Decatur, AL",158635.0
"Decatur, IL",100591.0
"Deltona, FL",721796.0
"Denver, CO",3005131.0
"Des Moines, IA",737164.0
"Detroit, MI",4342304.0
"Dothan, AL",153349.0
"Dover, DE",189789.0
"Dubuque, IA",98887.0
"Duluth, MN",281603.0
"Durham, NC",608879.0
"Eagle Pass, TX",57762.0
"Eau Claire, WI",174873.0
"El Centro, CA",179057.0
"Elizabethtown, KY",127576.0
"Elkhart, IN",206409.0
"Elmira, NY",81325.0
"El Paso, TX",873331.0
"Enid, OK",62023.0
"Erie, PA",267571.0
"Eugene, OR",381181.0
"Evansville, IN",270717.0
"Fairbanks, AK",94840.0
"Fargo, ND",262620.0
"Farmington, NM",120675.0
"Fayetteville, NC",392336.0
"Fayetteville, AR",590337.0
"Flagstaff, AZ",144472.0
"Flint, MI",401522.0
"Florence, SC",199630.0
"Florence, AL",155175.0
"Fond du Lac, WI",103948.0
"Fort Collins, CO",370771.0
"Fort Smith, AR",231280.0
"Fort Wayne, IN",457842.0
"Fresno, CA",1180020.0
"Gadsden, AL",103241.0
"Gainesville, FL",352126.0
"Gainesville, GA",217267.0
"Gettysburg, PA",106748.0
"Glens Falls, NY",125427.0
"Goldsboro, NC",118686.0
"Grand Forks, ND",103120.0
"Grand Island, NE",76479.0
"Grand Junction, CO",159681.0
"Grand Rapids, MI",1162950.0
"Grants Pass, OR",87821.0
"Great Falls, MT",84900.0
"Greeley, CO",359442.0
"Green Bay, WI",331882.0
"Greensboro, NC",789842.0
"Greenville, NC",175119.0
"Greenville, SC",975480.0
"Gulfport, MS",421916.0
"Hagerstown, MD",305902.0
"Hammond, LA",138064.0
"Hanford, CA",152682.0
"Harrisburg, PA",606055.0
"Harrisonburg, VA",137650.0
"Hartford, CT",1151543.0
"Hattiesburg, MS",155740.0
"Helena, MT",96091.0
"Hickory, NC",370030.0
"Hilton Head Island, SC",232523.0
"Hinesville, GA",88804.0
"Homosassa Springs, FL",166696.0
"Hot Springs, AR",99784.0
"Houma, LA",198672.0
"Houston, TX",7510253.0
"Huntington, WV",368261.0
"Huntsville, AL",527254.0
"Idaho Falls, ID",168322.0
"Indianapolis, IN",2138468.0
"Iowa City, IA",180088.0
"Ithaca, NY",103558.0
"Jackson, MI",159424.0
"Jackson, MS",610257.0
"Jackson, TN",181826.0
"Jacksonville, FL",1713240.0
"Jacksonville, NC",213676.0
"Janesville, WI",164278.0
"Jefferson City, MO",150733.0
"Johnson City, TN",213198.0
"Johnstown, PA",130668.0
"Jonesboro, AR",136390.0
"Joplin, MO",204787.0
"Kahului, HI",164264.0
"Kalamazoo, MI",262215.0
"Kankakee, IL",105940.0
"Kansas City, MO",2221343.0
"Kennewick, WA",314253.0
"Kenosha, WI",167488.0
"Killeen, TX",501333.0
"Kingsport, TN",313025.0
"Kingston, NY",182333.0
"Kiryas Joel, NY",704620.0
"Knoxville, TN",946264.0
"Kokomo, IN",83831.0
"La Crosse, WI",170238.0
"Lafayette, LA",414288.0
"Lafayette, IN",226564.0
"Lake Charles, LA",240082.0
"Lake Havasu City, AZ",223682.0
"Lakeland, FL",818330.0
"Lancaster, PA",558589.0
"Lansing, MI",473177.0
"Laredo, TX",269148.0
"Las Cruces, NM",225210.0
"Las Vegas, NV",2336573.0
"Lawrence, KS",120553.0
"Lawton, OK",127001.0
"Lebanon, PA",144252.0
"Lewiston, ID",65536.0
"Lewiston, ME",113765.0
"Lexington, KY",520045.0
"Lexington Park, MD",210009.0
"Lima, OH",100838.0
"Lincoln, NE",344387.0
"Little Rock, AR",764045.0
"Logan, UT",157887.0
"Longview, TX",293498.0
"Longview, WA",112864.0
"Los Angeles, CA",12799100.0
"Louisville, KY",1365557.0
"Lubbock, TX",360104.0
"Lynchburg, VA",264590.0
"Macon, GA",236074.0
"Madison, WI",694345.0
"Manchester, NH",427354.0
"Manhattan, KS",132831.0
"Mankato, MN",104248.0
"Mansfield, OH",125064.0
"McAllen, TX",898471.0
"Medford, OR",220768.0
"Memphis, TN",1335674.0
"Merced, CA",291920.0
"Miami, FL",6183199.0
"Michigan City, IN",111706.0
"Midland, MI",84039.0
"Midland, TX",182324.0
"Milwaukee, WI",1560424.0
"Minneapolis, MN",3712020.0
"Minot, ND",75742.0
"Missoula, MT",126939.0
"Mobile, AL",411640.0
"Modesto, CA",551430.0
"Monroe, LA",221885.0
"Monroe, MI",155045.0
"Montgomery, AL",385480.0
"Morgantown, WV",141817.0
"Morristown, TN",124054.0
"Mount Vernon, WA",131417.0
"Muncie, IN",112321.0
"Muskegon, MI",176564.0
"Myrtle Beach, SC",397478.0
"Napa, CA",133216.0
"Naples, FL",404310.0
"Nashville, TN",2102573.0
