msa_name,2023_population
"Aberdeen, SD",41790.0
"Aberdeen, WA",77290.0
"Ada, OK",38396.0
"Adrian, MI",97520.0
"Alamogordo, NM",68835.0
"Alamosa, CO",27804.0
"Albemarle, NC",65699.0
"Albert Lea, MN",30515.0
"Albertville, AL",100756.0
"Alexander City, AL",40677.0
"Alexandria, MN",39953.0
"Alice, TX",45510.0
"Alma, MI",41368.0
"Alpena, MI",28904.0
"Altus, OK",24669.0
"Americus, GA",33416.0
"Amsterdam, NY",49368.0
"Anderson Creek, NC",141477.0
"Andrews, TX",18664.0
"Angola, IN",34917.0
"Arcadia, FL",35979.0
"Ardmore, OK",48596.0
"Arkadelphia, AR",21274.0
"Arkansas City, KS",34157.0
"Ashland, OH",52190.0
"Astoria, OR",41102.0
"Atchison, KS",16016.0
"Athens, OH",62706.0
"Athens, TN",69369.0
"Athens, TX",86158.0
"Auburn, IN",44198.0
"Auburn, NY",74485.0
"Augusta, ME",127259.0
"Austin, MN",40058.0
"Bainbridge, GA",29087.0
"Baker City, OR",16912.0
"Baraboo, WI",65920.0
"Barre, VT",60142.0
"Bartlesville, OK",53706.0
"Batavia, NY",57529.0
"Batesville, AR",38320.0
"Bay City, TX",36359.0
"Beatrice, NE",21634.0
"Beaver Dam, WI",88231.0
"Bedford, IN",45084.0
"Beeville, TX",30850.0
"Bellefontaine, OH",46057.0
"Bemidji, MN",46718.0
"Bennington, VT",37183.0
"Big Rapids, MI",41099.0
"Big Spring, TX",30554.0
"Bishop, CA",18527.0
"Blackfoot, ID",50395.0
"Bloomsburg, PA",65439.0
"Bluefield, WV",97177.0
"Blytheville, AR",38663.0
"Bogalusa, LA",44865.0
"Bonham, TX",37571.0
"Boone, NC",54748.0
"Borger, TX",20033.0
"Bradford, PA",39519.0
"Brainerd, MN",99750.0
"Branson, MO",56775.0
"Brattleboro, VT",45966.0
"Breckenridge, CO",37830.0
"Brenham, TX",37007.0
"Brevard, NC",33549.0
"Brigham City, UT",67637.0
"Brookhaven, MS",34702.0
"Brookings, OR",23296.0
"Brookings, SD",35980.0
"Brownwood, TX",38709.0
"Bucyrus, OH",41529.0
"Burley, ID",48176.0
"Burlington, IA",44341.0
"Butte, MT",36360.0
"Cadillac, MI",49433.0
"Calhoun, GA",59757.0
"Cambridge, MD",32879.0
"Cambridge, OH",38089.0
"Camden, AR",26434.0
"Campbellsville, KY",37911.0
"Cañon City, CO",50318.0
"Canton, IL",32541.0
"Carbondale, IL",52141.0
"Carlsbad, NM",60275.0
"Carroll, IA",20522.0
"Cedar City, UT",64211.0
"Cedartown, GA",44223.0
"Celina, OH",42439.0
"Centralia, IL",36673.0
"Centralia, WA",86154.0
"Charleston, IL",46060.0
"Chillicothe, OH",76501.0
"Clarksburg, WV",88707.0
"Clarksdale, MS",20077.0
"Clearlake, CA",67878.0
"Cleveland, MS",28968.0
"Clewiston, FL",56119.0
"Clinton, IA",46158.0
"Clovis, NM",66009.0
"Cody, WY",30735.0
"Coldwater, MI",45215.0
"Columbus, MS",67197.0
"Columbus, NE",45175.0
"Concord, NH",157103.0
"Connersville, IN",23362.0
"Cookeville, TN",148226.0
"Coos Bay, OR",64212.0
"Corbin, KY",149563.0
"Cordele, GA",19631.0
"Corinth, MS",34135.0
"Cornelia, GA",48757.0
"Corning, NY",92162.0
"Corsicana, TX",55635.0
"Cortland, NY",45752.0
"Coshocton, OH",36869.0
"Crawfordsville, IN",38573.0
"Crescent City, CA",26589.0
"Crossville, TN",64760.0
"Cullman, AL",92016.0
"Cumberland, MD",94140.0
"Danville, IL",71652.0
"Danville, KY",55764.0
"Danville, VA",101408.0
"Decatur, IN",36288.0
"Defiance, OH",38315.0
"Del Rio, TX",47720.0
"Deming, NM",25316.0
"DeRidder, LA",36827.0
"Detroit Lakes, MN",35283.0
"Dickinson, ND",38054.0
"Dixon, IL",33654.0
"Dodge City, KS",33980.0
"Douglas, GA",51610.0
"Dublin, GA",59223.0
"DuBois, PA",77090.0
"Dumas, TX",21190.0
"Duncan, OK",44014.0
"Durango, CO",56407.0
"Durant, OK",48967.0
"Dyersburg, TN",36498.0
"Easton, MD",37823.0
"East Stroudsburg, PA",166053.0
"Edwards, CO",54381.0
"Effingham, IL",44592.0
"El Campo, TX",41739.0
"El Dorado, AR",37397.0
"Elizabeth City, NC",41444.0
"Elk City, OK",22042.0
"Elkins, WV",27350.0
"Elko, NV",56210.0
"Ellensburg, WA",45508.0
"Emporia, KS",34751.0
"Enterprise, AL",55643.0
"Escanaba, MI",36790.0
"Española, NM",39876.0
"Eufaula, AL",26865.0
"Eureka, CA",133985.0
"Evanston, WY",23415.0
"Fairmont, MN",19657.0
"Fairmont, WV",55807.0
"Fallon, NV",25803.0
"Faribault, MN",67948.0
"Farmington, MO",67058.0
"Fayetteville, TN",36169.0
"Fergus Falls, MN",60626.0
"Findlay, OH",74704.0
"Fitzgerald, GA",17128.0
"Forest City, NC",65507.0
"Forrest City, AR",22101.0
