CBSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,FIPS State Code,state_and_msa_code
10180,"Abilene, TX",Metropolitan Statistical Area,48,4810180
10380,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,72,7210380
10420,"Akron, OH",Metropolitan Statistical Area,39,3910420
10500,"Albany, GA",Metropolitan Statistical Area,13,1310500
10540,"Albany-Lebanon, OR",Metropolitan Statistical Area,41,4110540
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,36,3610580
10740,"Albuquerque, NM",Metropolitan Statistical Area,35,3510740
10780,"Alexandria, LA",Metropolitan Statistical Area,22,2210780
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,42,4210900
11020,"Altoona, PA",Metropolitan Statistical Area,42,4211020
11100,"Amarillo, TX",Metropolitan Statistical Area,48,4811100
11180,"Ames, IA",Metropolitan Statistical Area,19,1911180
11260,"Anchorage, AK",Metropolitan Statistical Area,02,0211260
11460,"Ann Arbor, MI",Metropolitan Statistical Area,26,2611460
11500,"Anniston-Oxford, AL",Metropolitan Statistical Area,01,0111500
11540,"Appleton, WI",Metropolitan Statistical Area,55,5511540
11640,"Arecibo, PR",Metropolitan Statistical Area,72,7211640
11700,"Asheville, NC",Metropolitan Statistical Area,37,3711700
12020,"Athens-Clarke County, GA",Metropolitan Statistical Area,13,1312020
12060,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area,13,1312060
12100,"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,34,3412100
12220,"Auburn-Opelika, AL",Metropolitan Statistical Area,01,0112220
12260,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,13,1312260
12420,"Austin-Round Rock-Georgetown, TX",Metropolitan Statistical Area,48,4812420
12540,"Bakersfield, CA",Metropolitan Statistical Area,06,0612540
12580,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,24,2412580
70750,"Bangor, ME NECTA",Metropolitan Statistical Area,23,2370750
70900,"Barnstable Town, MA",Metropolitan Statistical Area,25,2570900
