msa_geoid,msa_name,city_geoid,city_name
12020,"Athens-Clarke County, GA",1380788,Watkinsville
12020,"Athens-Clarke County, GA",1340532,Hull
12020,"Athens-Clarke County, GA",1313212,Carlton
12020,"Athens-Clarke County, GA",1317552,Colbert
12020,"Athens-Clarke County, GA",1319084,Comer
12020,"Athens-Clarke County, GA",1321632,Danielsville
12020,"Athens-Clarke County, GA",1303124,Arnoldsville
12020,"Athens-Clarke County, GA",1320288,Crawford
12020,"Athens-Clarke County, GA",1350260,Maxeys
12020,"Athens-Clarke County, GA",1309068,Bogart
12020,"Athens-Clarke County, GA",1383728,Winterville
12020,"Athens-Clarke County, GA",1340840,Ila
12020,"Athens-Clarke County, GA",1303440,Athens-Clarke County unified government (balance)
12020,"Athens-Clarke County, GA",1346188,Lexington
12020,"Athens-Clarke County, GA",1308200,Bishop
12020,"Athens-Clarke County, GA",1356308,North High Shoals
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1358296,Orchard Hill
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1342425,Johns Creek
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1354572,Nelson
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1375272,Talking Rock
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1305344,Barnesville
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1324600,Duluth
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1304644,Avondale Estates
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1315172,Chamblee
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1316544,Clarkston
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1323536,Doraville
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1346860,Lithonia
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1361040,Pine Lake
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1373816,Stone Mountain
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1304252,Austell
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1321324,Dallas
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1310104,Braswell
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1339076,Hiram
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1330312,Flovilla
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1348624,McDonough
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1373704,Stockbridge
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1347140,Locust Grove
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1301696,Alpharetta
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1367284,Roswell
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1307612,Bethlehem
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1313184,Carl
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1367760,Rutledge
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1373312,Statham
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1310132,Bremen
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1315026,Centralhatchee
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1336472,Hapeville
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1378324,Union City
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1345488,Lawrenceville
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1355776,Norcross
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1374180,Sugar Hill
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1311616,Buchanan
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1375832,Temple
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1332384,Gay
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1335016,Greenville
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1348008,Luthersville
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1380480,Warm Springs
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1383896,Woodbury
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1375300,Tallapoosa
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1312988,Canton
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1353172,Mountain Park
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1349756,Marietta
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1362524,Powder Springs
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1371492,Smyrna
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1304000,Atlanta
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1322052,Decatur
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1369784,Shady Dale
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1319336,Conyers
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1321184,Dacula
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1346356,Lilburn
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1379948,Waleska
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1328380,Fairburn
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1307248,Berkeley Lake
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1334596,Grayson
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1371604,Snellville
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1374936,Suwanee
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1353620,Mount Zion
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1315552,Chattahoochee Hills
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1342156,Jenkinsburg
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1341932,Jasper
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1327708,Ephesus
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1331292,Franklin
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1301248,Aldora
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1351604,Milner
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1334428,Grantville
