"state","PropertyTaxRate"
"Alabama",0.0041
"Alaska",0.0119
"Arizona",0.0066
"Arkansas",0.0062
"California",0.0076
"Colorado",0.0051
"Connecticut",0.0214
"Delaware",0.0057
"District of Columbia",0.0056
"Florida",0.0089
"Georgia",0.0092
"Hawaii",0.0028
"Idaho",0.0069
"Illinois",0.0227
"Indiana",0.0085
"Iowa",0.0157
"Kansas",0.0141
"Kentucky",0.0086
"Louisiana",0.0055
"Maine",0.0136
"Maryland",0.0109
"Massachusetts",0.0123
"Michigan",0.0154
"Minnesota",0.0112
"Mississippi",0.0081
"Missouri",0.0097
"Montana",0.0084
"Nebraska",0.0173
"Nevada",0.006
"New Hampshire",0.0218
"New Jersey",0.0249
"New Mexico",0.008
"New York",0.0172
"North Carolina",0.0084
"North Dakota",0.0098
"Ohio",0.0156
"Oklahoma",0.009
"Oregon",0.0097
"Pennsylvania",0.0158
"Rhode Island",0.0163
"South Carolina",0.0057
"South Dakota",0.0131
"Tennessee",0.0071
"Texas",0.018
"Utah",0.0063
"Vermont",0.019
"Virginia",0.0082
"Washington",0.0098
"West Virginia",0.0058
"Wisconsin",0.0185
"Wyoming",0.0061
