msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,trend_coef_Price,average_value_Price,pct_coef_Price,average_pct_Price,trend_coef_Rent,average_value_Rent,pct_coef_Rent,average_pct_Rent,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,normalized_trend_coef_Price,normalized_pct_coef_Price,normalized_average_pct_Price,Price_weight,normalized_trend_coef_Rent,normalized_pct_coef_Rent,normalized_average_pct_Rent,Rent_weight,total_weight,avg_insurance,prop_tax,Jobs,Rent,Price,rent_price_ratio,rank
"Dallas, TX",256.9170975753312,8341.818181818182,2.481041574139955e-07,0.0022681632534080863,66.09746417087486,1844.8599733139458,-1.1367389945463685e-06,0.007006630613786855,0.21180153725795317,5.928691368640015,1.6708585969792864e-07,0.004239964854358784,1.0,0.49075525182266294,0.6128611141869335,4.0,0.24779516753649106,0.21059748790130597,0.7738728660911192,0.24779516753649106,0.3603831302902935,0.3739786202585397,0.3803248851225104,0.720766260580587,4.968561428117078,5602.0,0.018,4273800.0,1755.441551907007,381666.2812746654,0.0045994148239773556,1
"Phoenix, AZ",156.87178464322685,5077.272727272727,9.398914558308057e-09,0.0024329274286629585,89.69031101838871,2280.8739500948036,-2.4503198850192523e-07,0.007280745704495511,0.3199167577127039,8.235212888791837,-1.349268820022347e-07,0.0060846655267641344,0.6267664044398885,0.38188030517013877,0.6500991738474522,2.507065617759554,0.34798417036317747,0.3351355383246791,0.8107638767761163,0.34798417036317747,0.5857058182110966,0.30920894916668157,0.6263369556547226,1.1714116364221931,4.026461424544925,4086.0,0.0066,2444200.0,1864.017828788762,460783.4195333528,0.004045323138311923,2
"Riverside, CA",105.03709883960208,3374.5454545454545,-4.1842905266059943e-07,0.002359266406894607,98.34994642610029,2679.758187909007,3.5803785414974303e-07,0.006532646355298114,0.38668016913948494,10.486009214749426,4.893300903287305e-07,0.005617677999983975,0.4333895675825237,0.18674530708558956,0.633451176678034,1.733558270330095,0.38475803838973627,0.4193617942180032,0.7100830240243305,0.38475803838973627,0.7248472938901923,0.4430871377062147,0.5640587930810064,1.4496945877803846,3.5680108965002155,2598.0,0.0076,1697100.0,2510.6857778919807,581266.9001824938,0.004319333815676979,3
"Miami, FL",106.06067481863508,4387.272727272727,3.5888893657564143e-07,0.0017644061668005775,81.20435141579257,2485.536581917958,8.644656825542871e-07,0.007567661199294818,0.3979484572446109,11.393958436033689,2.1128100763550085e-06,0.005564239273048643,0.43720816669313584,0.5412848789763822,0.4990078665590342,1.7488326667725433,0.311947831208912,0.49009078255400046,0.8493775939449474,0.311947831208912,0.7483315078004404,0.7912587549935775,0.5569321236670335,1.4966630156008809,3.5574435135823363,5854.0,0.0089,2956000.0,2748.1186255268763,488836.4229032884,0.00562175504273045,4
"Atlanta, GA",138.3279284013837,4861.818181818182,-1.1794010584231878e-07,0.001835613954820056,70.28343103162898,1928.3994713450975,2.6329287296643554e-07,0.007371942094588769,0.29316713527019234,7.826275374994767,-3.171076305422202e-08,0.005435413630877769,0.5575858507702728,0.32380018557559503,0.515101412710442,2.230343403081091,0.2655712268800333,0.4061294710849715,0.8230372871624833,0.2655712268800333,0.5299569902083276,0.33134468436118536,0.5397517412656038,1.0599139804166553,3.55582861037778,4006.0,0.0092,3078000.0,1919.1852151724595,385770.9266957661,0.0049749348184706605,5
"Austin, TX",119.4646887639067,3710.0,3.4990934159057337e-07,0.0033554170646944094,87.75075301899216,1957.4073768387857,-1.2187059137536374e-06,0.00568477491695843,0.20259439922481012,5.027437416422276,9.615484442174561e-08,0.0034711874934281496,0.48721379087591754,0.5371892298265576,0.8585894239252443,1.9488551635036702,0.33974767465157407,0.19914978114551243,0.5959746244815342,0.33974767465157407,0.341194554611868,0.35876675037587424,0.27779957401378413,0.682389109223736,2.9709919473789803,5602.0,0.018,1352600.0,1752.9620922590632,470662.3986813356,0.0037244574819878806,6
"Tampa, FL",85.9579234942135,2890.909090909091,9.123571850830198e-08,0.0021812144781545857,74.01160076192726,2037.155148693722,7.713629326353585e-08,0.008181313035719917,0.33569431098344243,9.262067932580315,1.1818696280464115e-06,0.006061210427510041,0.3622119281131578,0.4192065806958729,0.5932099753681315,1.448847712452631,0.2814032123144906,0.38013037345252915,0.9319642052690483,0.2814032123144906,0.6185877815167568,0.5916092094028255,0.6232089481582467,1.2371755630335135,2.967426487800635,5854.0,0.0089,1548500.0,2099.0094408498258,381935.9592665609,0.0054957104454909,7
"Los Angeles, CA",68.42351094447231,4737.272727272727,-1.2688678164766976e-07,0.0009310469166174224,143.66761345291445,3914.137911183568,4.770008036865982e-07,0.005485119633975446,0.32014972192422575,9.834449089508588,-1.554022183314099e-07,0.00421436942608705,0.2967972510016411,0.3197195510684849,0.3106618172497023,1.1871890040065645,0.5772033121285758,0.4359764599181801,0.5691045781852876,0.5772033121285758,0.5861913384006561,0.3048178072828319,0.37691144011244415,1.1723826768013121,2.9367749929364524,2598.0,0.0076,6273400.0,2924.553381752241,961667.108975696,0.003041128634281026,8
"San Diego, CA",41.37253131876002,1753.6363636363637,-1.1614164191949144e-08,0.0013491832169169988,144.064101389551,4375.401201377196,7.292814923834091e-07,0.0064561028098935255,0.40296358580183583,11.808699048005012,7.855635025571077e-07,0.0052484317192259015,0.19587963584080104,0.37229610919450756,0.4051640624901998,0.7835185433632041,0.5788870314042177,0.47121061745736714,0.6997816256442265,0.5788870314042177,0.7587835259531966,0.5066173734454058,0.5148155508442239,1.5175670519063933,2.8799726266738155,2598.0,0.0076,1560300.0,2971.155757070846,957093.773617926,0.0031043517771926683,9
"New York, NY",106.25438849568049,7990.0,3.6786669973306833e-07,0.001025268201003067,72.83353652755622,2191.467824883112,6.023293593723414e-07,0.004213860164738897,0.23951684734455866,9.013228451273,1.5858061227323685e-06,0.003383441303965279,0.4379308437489005,0.5453796926182206,0.3319566029870502,1.751723374995602,0.27640046374115107,0.45348016223483734,0.3980156879612355,0.27640046374115107,0.4181445457413785,0.6782374548057358,0.26609760953034023,0.836289091482757,2.86441293021951,3276.0,0.0172,10177900.0,3205.572268578418,654171.5310133587,0.004900201425171707,10
